finishing_position,horse_number,horse_name,horse_id,jockey,trainer,actual_weight,declared_horse_weight,draw,length_behind_winner,running_position_1,running_position_2,running_position_3,running_position_4,finish_time,win_odds,running_position_5,running_position_6,race_id
1,1,DOUBLE DRAGON,K019,B Prebble,D Cruz,133,1032,1,-,1,2,2,1,1.22.33,3.8,NA,NA,2014-001
2,2,PLAIN BLUE BANNER,S070,D Whyte,D E Ferraris,133,1075,13,2,8,9,9,2,1.22.65,8,NA,NA,2014-001
3,10,GOLDWEAVER,P072,Y T Cheng,Y S Tsui,121,1065,3,2,2,1,1,3,1.22.66,5.7,NA,NA,2014-001
4,3,SUPREME PROFIT,P230,J Moreira,C S Shum,132,1222,2,2,6,4,5,4,1.22.66,6.1,NA,NA,2014-001
5,7,THE ONLY KID,H173,Z Purton,K W Lui,125,1136,9,4-1/4,9,10,10,5,1.23.02,6.1,NA,NA,2014-001
6,9,WINNING ADVANTAGE,N359,A Suborics,A T Millard,123,1100,11,5-1/2,12,13,13,6,1.23.20,24,NA,NA,2014-001
7,13,CARE FREE ELEGANCE,P340,C Y Ho,K L Man,115,1053,12,5-1/2,4,3,3,7,1.23.22,99,NA,NA,2014-001
8,4,COOL PAL,S035,H W Lai,L Ho,129,1203,8,5-3/4,5,6,6,8,1.23.25,21,NA,NA,2014-001
9,6,TAI PO FORTUNE,P081,K Teetan,T P Yung,127,1073,6,6-1/4,7,7,7,9,1.23.33,10,NA,NA,2014-001
10,11,SUPER HORSE,L308,T H So,C W Chang,119,1137,7,6-3/4,11,11,12,10,1.23.41,27,NA,NA,2014-001
11,5,AMAZING GIFT,S090,K C Leung,P O'Sullivan,125,1099,4,7-3/4,3,5,4,11,1.23.56,17,NA,NA,2014-001
12,14,LITTLE WIND,N306,C Y Lui,P F Yiu,107,1062,5,10-1/4,10,8,8,12,1.23.96,46,NA,NA,2014-001
13,8,EVERSPRING,P325,M L Yeung,A Lee,122,988,14,11,13,12,11,13,1.24.10,58,NA,NA,2014-001
1,11,TRUMP,P106,K C Leung,K L Man,119,1137,13,-,4,3,2,1,1.21.54,39,NA,NA,2014-010
2,13,MULTIVICTORY,P254,K C Ng,A S Cruz,114,1101,3,2-1/4,1,1,1,2,1.21.89,3.2,NA,NA,2014-010
3,4,HELENE SUPER STAR,S152,M Chadwick,A S Cruz,127,1195,6,2-1/4,8,8,9,3,1.21.92,13,NA,NA,2014-010
4,2,DEEP THINKER,N159,Z Purton,P F Yiu,132,1067,2,2-1/2,5,5,4,4,1.21.95,8.3,NA,NA,2014-010
5,10,LITTLE MEN,N441,W M Lai,W Y So,121,1251,4,2-3/4,7,7,7,5,1.21.98,5,NA,NA,2014-010
6,3,SMART MAN,P103,D Whyte,J Moore,128,1134,9,3-1/2,12,10,10,6,1.22.10,5.6,NA,NA,2014-010
7,14,ROYAL PARTNER,N394,C Y Ho,C Fownes,116,1082,10,3-1/2,11,12,12,7,1.22.10,79,NA,NA,2014-010
8,12,SICHUAN EXEC,N344,C Reith,J Size,120,1051,12,4,10,11,11,8,1.22.18,35,NA,NA,2014-010
9,9,JOLLY VICTOR,N140,K Teetan,A T Millard,121,1035,7,4-1/2,9,9,8,9,1.22.25,24,NA,NA,2014-010
10,6,SICHUAN VIGOUR,P412,J Moreira,J Size,125,1064,5,4-3/4,6,6,6,10,1.22.32,8.1,NA,NA,2014-010
11,7,AUTUMN GOLD,P044,B Prebble,S Woods,123,1011,14,5,13,14,14,11,1.22.34,21,NA,NA,2014-010
12,5,PENGLAI XIANZI,K248,M L Yeung,A S Cruz,124,1105,11,7-1/4,2,2,3,12,1.22.72,40,NA,NA,2014-010
13,8,FLYING ELITE,N419,Y T Cheng,C H Yip,121,1125,1,9,3,4,5,13,1.22.98,50,NA,NA,2014-010
14,1,FREE JUDGEMENT,M163,O Doleuze,S Woods,133,1172,8,10-3/4,14,13,13,14,1.23.26,82,NA,NA,2014-010
1,7,JUST MISTERE,P012,D Whyte,Y S Tsui,130,1147,8,-,7,7,1,NA,1.09.97,7.1,NA,NA,2014-002
2,11,MASSIVE,P331,K C Leung,L Ho,117,1073,10,1-1/4,2,2,2,NA,1.10.17,7.4,NA,NA,2014-002
3,10,SHANGHAI PIONEER,L252,C Reith,D E Ferraris,120,1072,7,1-3/4,9,8,3,NA,1.10.24,82,NA,NA,2014-002
4,12,POSITIVE ENERGY,P011,J Moreira,P F Yiu,115,1161,13,2,3,3,4,NA,1.10.31,5.7,NA,NA,2014-002
5,6,KING ON EARTH,L251,H W Lai,A Lee,129,1084,14,2-1/2,11,10,5,NA,1.10.39,58,NA,NA,2014-002
6,14,JUST GOOD,L133,W M Lai,Y S Tsui,113,1116,3,2-1/2,12,11,6,NA,1.10.39,44,NA,NA,2014-002
7,4,MONEY CAFE,S031,Y T Cheng,C H Yip,132,1103,2,4-1/4,8,9,7,NA,1.10.64,19,NA,NA,2014-002
8,9,FLYING KEEPER,M191,C K Tong,C Fownes,122,1071,11,4-3/4,13,13,8,NA,1.10.74,36,NA,NA,2014-002
9,8,SUPER TEAM,M036,C Y Ho,A T Millard,128,1147,6,6-1/4,10,12,9,NA,1.10.96,83,NA,NA,2014-002
10,3,CALIFORNIA ROCK,S233,M Chadwick,A S Cruz,132,1198,5,7,1,1,10,NA,1.11.11,6,NA,NA,2014-002
11,5,JOYFUL LUCK,M223,O Doleuze,C W Chang,131,1092,12,8-1/2,4,4,11,NA,1.11.35,13,NA,NA,2014-002
12,2,SPARKLING SWORD,P256,Z Purton,K W Lui,133,1123,4,9,6,5,12,NA,1.11.42,2.7,NA,NA,2014-002
13,1,ALLEY-OOP,P379,T H So,C W Chang,131,1167,9,9,14,14,13,NA,1.11.43,99,NA,NA,2014-002
14,13,AMERICAN FAME,P449,K Teetan,C S Shum,114,1045,1,12-1/2,5,6,14,NA,1.11.96,99,NA,NA,2014-002
1,5,GOLDEN HARVEST,N236,J Moreira,A T Millard,115,1179,11,-,7,6,1,NA,1.08.37,7.9,NA,NA,2014-003
2,8,SMART VOLATILITY,P049,Y T Cheng,K W Lui,113,1180,5,N,5,3,2,NA,1.08.44,6.6,NA,NA,2014-003
3,7,PENIAPHOBIA,S143,M Chadwick,A S Cruz,113,1110,2,1,1,1,3,NA,1.08.55,6.2,NA,NA,2014-003
4,6,LORD SINCLAIR,N447,H W Lai,S Woods,111,1170,9,3-3/4,9,8,4,NA,1.08.99,41,NA,NA,2014-003
5,2,CHARLES THE GREAT,N171,C Reith,J Moore,131,1090,3,4-1/4,6,7,5,NA,1.09.05,17,NA,NA,2014-003
6,11,BEST ELEVEN,N016,K C Leung,A S Cruz,113,1100,4,4-1/2,4,5,6,NA,1.09.09,93,NA,NA,2014-003
7,9,TOUR DE FORCE,N297,K Teetan,J Size,113,1106,6,5-3/4,8,10,7,NA,1.09.28,10,NA,NA,2014-003
8,1,HELENE SPIRIT,M310,A Suborics,C Fownes,133,1114,10,5-3/4,10,11,8,NA,1.09.28,21,NA,NA,2014-003
9,4,BULLISH FRIEND,N333,Z Purton,A S Cruz,120,1144,1,6,3,4,9,NA,1.09.33,21,NA,NA,2014-003
10,3,DIVINE TEN,P391,D Whyte,Y S Tsui,121,1193,7,6-1/4,2,2,10,NA,1.09.35,2,NA,NA,2014-003
11,10,EL ZONDA,K132,M L Yeung,A S Cruz,111,1073,8,7-3/4,11,9,11,NA,1.09.63,99,NA,NA,2014-003
1,5,ROMANTIC CASH,S319,O Doleuze,C S Shum,125,1144,9,-,2,2,1,NA,1.09.26,7.6,NA,NA,2014-004
2,3,HIT THE BID,P214,J Moreira,A T Millard,130,1155,5,3,3,3,2,NA,1.09.74,2.6,NA,NA,2014-004
3,11,EXCITABLE BOY,P440,H W Lai,A Schutz,116,1137,6,3-1/4,1,1,3,NA,1.09.80,99,NA,NA,2014-004
4,8,COLLAGEN,P302,M Chadwick,P O'Sullivan,121,1177,2,4-1/4,6,5,4,NA,1.09.96,34,NA,NA,2014-004
5,14,WINNING BOY,N186,W M Lai,T P Yung,115,973,11,4-3/4,9,8,5,NA,1.10.01,12,NA,NA,2014-004
6,9,FOREVER AHEAD,N433,Z Purton,W Y So,120,1048,3,5-1/4,8,7,6,NA,1.10.09,7.8,NA,NA,2014-004
7,1,LUCKY DAY,S014,D Whyte,A S Cruz,133,1092,12,6,13,13,7,NA,1.10.21,5.3,NA,NA,2014-004
8,13,HEARTLAND,M332,Y T Cheng,L Ho,116,1092,1,6,5,6,8,NA,1.10.23,11,NA,NA,2014-004
9,4,OPTIMISM,S150,K Teetan,D E Ferraris,126,1025,10,6,14,11,9,NA,1.10.23,99,NA,NA,2014-004
10,7,SILVER DRAGON,M326,C Y Ho,Y S Tsui,121,1113,7,6-3/4,10,10,10,NA,1.10.32,25,NA,NA,2014-004
11,10,ELEGANT FRAMES,N240,M L Yeung,T K Ng,117,1198,14,7,4,4,11,NA,1.10.37,70,NA,NA,2014-004
12,2,ABLE WARRIOR,P265,C Reith,J Moore,132,1212,8,8-1/2,11,14,12,NA,1.10.64,22,NA,NA,2014-004
13,12,WIN CHANCE,P415,T H So,C H Yip,115,1015,4,16-1/4,12,12,13,NA,1.11.85,99,NA,NA,2014-004
14,6,GOLDEN GUNNERS,N330,C Y Lui,D Cruz,116,1019,13,20,7,9,14,NA,1.12.44,14,NA,NA,2014-004
1,8,SENSATION,S225,Z Purton,T P Yung,123,1162,10,-,13,13,1,NA,0.56.36,15,NA,NA,2014-005
2,3,MELLIFLUENT,S059,D Whyte,C S Shum,129,1158,12,SH,12,8,2,NA,0.56.38,3.1,NA,NA,2014-005
3,5,HAYHAY,P343,M L Yeung,K W Lui,124,1153,3,HD,5,3,3,NA,0.56.40,51,NA,NA,2014-005
4,2,INCREDIBLE FELLOW,S177,O Doleuze,R Gibson,131,1192,1,N,3,2,4,NA,0.56.40,5.8,NA,NA,2014-005
5,10,VICTORY GENERAL,L396,M Chadwick,C Fownes,122,1078,5,1/2,1,1,5,NA,0.56.44,13,NA,NA,2014-005
6,12,FLASHING GUY,L158,K C Leung,K L Man,116,1043,13,2-1/2,6,4,6,NA,0.56.75,23,NA,NA,2014-005
7,1,ORIENTAL PROSPER,N100,C Y Ho,Y S Tsui,131,1217,9,3,10,12,7,NA,0.56.86,18,NA,NA,2014-005
8,7,GALLANT ROCK,S240,K Teetan,A T Millard,124,1214,2,3-1/2,11,5,8,NA,0.56.90,40,NA,NA,2014-005
9,11,REAL FIT,P418,K C Ng,A S Cruz,114,1057,7,5-1/4,9,11,9,NA,0.57.20,7,NA,NA,2014-005
10,13,OCEAN ROAR,N317,T H So,A Lee,116,1184,8,6-3/4,2,6,10,NA,0.57.43,99,NA,NA,2014-005
11,9,HIGHLAND DRAGON,N265,C Reith,S Woods,122,1068,11,7-1/2,4,9,11,NA,0.57.56,31,NA,NA,2014-005
12,14,SIR JOHN,P344,W M Lai,T K Ng,115,1178,14,8-1/4,7,10,12,NA,0.57.69,19,NA,NA,2014-005
13,4,EXAGGERATION,S226,B Prebble,J Moore,127,1141,4,8-1/2,14,14,13,NA,0.57.74,57,NA,NA,2014-005
14,6,DARK CORE,S293,J Moreira,J Size,125,1092,6,12-1/4,8,7,14,NA,0.58.31,5.1,NA,NA,2014-005
1,2,JAZZY FEELING,P149,O Doleuze,R Gibson,132,1040,8,-,9,6,6,1,1.22.16,8.7,NA,NA,2014-006
2,11,SMART BALL,P277,K C Ng,A S Cruz,115,1089,12,1,1,1,1,2,1.22.34,5.9,NA,NA,2014-006
3,10,GOOD CHOICE,P423,M Chadwick,S Woods,122,1005,4,1-1/4,11,9,8,3,1.22.36,5.7,NA,NA,2014-006
4,3,PRINCIPAL,P108,J Moreira,J Moore,130,1117,9,2,12,11,10,4,1.22.49,3.9,NA,NA,2014-006
5,13,KING OF REASON,M154,H W Lai,P F Yiu,113,1057,10,2-1/4,4,4,3,5,1.22.50,22,NA,NA,2014-006
6,6,OVETT,P351,K Teetan,A T Millard,126,1137,13,2-1/4,2,2,2,6,1.22.54,11,NA,NA,2014-006
7,9,SUPREME FLIGHT,M199,C Reith,A T Millard,123,1065,1,2-1/2,3,3,5,7,1.22.57,20,NA,NA,2014-006
8,7,WHY NOT,N053,A Suborics,C H Yip,126,1148,11,2-3/4,13,13,11,8,1.22.62,13,NA,NA,2014-006
9,4,AMBASSADORSHIP,N217,C Y Lui,P F Yiu,120,1116,3,3,8,8,12,9,1.22.63,30,NA,NA,2014-006
10,5,STARTING OVER,P321,C Y Ho,C Fownes,125,997,5,3,5,5,4,10,1.22.66,23,NA,NA,2014-006
11,8,BEST TANGO,S121,B Prebble,W Y So,123,1089,2,3-3/4,6,7,7,11,1.22.78,8,NA,NA,2014-006
12,12,MEGA CHAMPION,M149,K C Leung,A S Cruz,115,1051,6,5,10,10,9,12,1.22.98,31,NA,NA,2014-006
13,1,TURBO JEWELLERY,N379,M L Yeung,J Size,131,1095,7,17-1/2,7,12,13,13,1.24.97,69,NA,NA,2014-006
1,4,HIDDEN VALUE,S126,Z Purton,C Fownes,127,1118,10,-,2,2,1,1,1.22.94,3,NA,NA,2014-007
2,5,GRAND HARBOUR,P421,K Teetan,J Moore,126,1179,12,1-1/2,8,11,7,2,1.23.20,11,NA,NA,2014-007
3,10,VARA PEARL,S138,J Moreira,A T Millard,122,1013,5,1-3/4,5,8,9,3,1.23.23,7.6,NA,NA,2014-007
4,11,HIT A HOME RUN,N248,D Whyte,D J Hall,121,1119,6,2-1/4,10,10,8,4,1.23.30,2.5,NA,NA,2014-007
5,1,DEMOKLES,P116,C Y Lui,C H Yip,126,1035,7,3-1/2,7,3,2,5,1.23.50,27,NA,NA,2014-007